"Organization","ID/CDC","Administration","Tested Grade","STAAR - Mathematics|Tests Taken","STAAR - Mathematics|Average Scale Score","STAAR - Mathematics|Performance Levels|Did Not Meet|Count","STAAR - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR - Mathematics|Performance Levels|Approaches and Above|Count","STAAR - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR - Mathematics|Performance Levels|Meets and Above|Count","STAAR - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR - Mathematics|Performance Levels|Masters|Count","STAAR - Mathematics|Performance Levels|Masters|Percentage","STAAR Spanish - Mathematics|Tests Taken","STAAR Spanish - Mathematics|Average Scale Score","STAAR Spanish - Mathematics|Performance Levels|Did Not Meet|Count","STAAR Spanish - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR Spanish - Mathematics|Performance Levels|Approaches and Above|Count","STAAR Spanish - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR Spanish - Mathematics|Performance Levels|Meets and Above|Count","STAAR Spanish - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR Spanish - Mathematics|Performance Levels|Masters|Count","STAAR Spanish - Mathematics|Performance Levels|Masters|Percentage"
"STATE","","Spring 2025","3","376511","1460","113055","30","263456","70","168974","45","72651","19","21323","1397","9397","44","11926","56","5960","28","1773","8"
"STATE","","Spring 2025","5","383302","1641","103311","27","279991","73","177252","46","84011","22","12213","1528","6626","54","5587","46","2327","19","679","6"
"STATE","","Spring 2025","8","372216","1859","116312","31","255904","69","166788","45","64689","17","","","","","","","","","",""
"STATE","","Spring 2024","3","373259","1451","115332","31","257927","69","152500","41","56352","15","20622","1374","10795","52","9827","48","4074","20","919","4"
"STATE","","Spring 2024","5","380596","1639","92287","24","288309","76","186329","49","72612","19","11560","1527","6068","52","5492","48","2203","19","385","3"
"STATE","","Spring 2024","8","356728","1849","107934","30","248794","70","143519","40","52626","15","","","","","","","","","",""
"STATE","","Spring 2023","3","370006","1456","102657","28","267349","72","160917","43","68492","19","16454","1390","7144","43","9310","57","3798","23","1058","6"
"STATE","","Spring 2023","5","378663","1645","77842","21","300821","79","188585","50","79065","21","8483","1548","3648","43","4835","57","1983","23","425","5"
"STATE","","Spring 2023","8","364110","1856","94253","26","269857","74","159497","44","58570","16","","","","","","","","","",""
"A W BROWN LEADERSHIP ACADEMY","057816","Spring 2024","3","85","1355","47","55","38","45","8","9","0","0","0","","","","","","","","",""
"A W BROWN LEADERSHIP ACADEMY","057816","Spring 2024","5","60","1523","33","55","27","45","11","18","0","0","0","","","","","","","","",""
"A W BROWN LEADERSHIP ACADEMY","057816","Spring 2024","8","22","1742","13","59","9","41","2","9","0","0","","","","","","","","","",""
"A W BROWN LEADERSHIP ACADEMY","057816","Spring 2023","3","81","1377","38","47","43","53","17","21","2","2","0","","","","","","","","",""
"A W BROWN LEADERSHIP ACADEMY","057816","Spring 2023","5","62","1548","26","42","36","58","13","21","3","5","0","","","","","","","","",""
"A W BROWN LEADERSHIP ACADEMY","057816","Spring 2023","8","27","1775","10","37","17","63","3","11","0","0","","","","","","","","","",""
"A+ ACADEMY","057829","Spring 2025","3","95","1375","46","48","49","52","19","20","7","7","0","","","","","","","","",""
"A+ ACADEMY","057829","Spring 2025","5","108","1595","40","37","68","63","43","40","9","8","0","","","","","","","","",""
"A+ ACADEMY","057829","Spring 2025","8","112","1751","64","57","48","43","18","16","1","1","","","","","","","","","",""
"A+ ACADEMY","057829","Spring 2024","3","105","1402","46","44","59","56","27","26","9","9","1","","","","","","","","",""
"A+ ACADEMY","057829","Spring 2024","5","96","1531","54","56","42","44","26","27","5","5","0","","","","","","","","",""
"A+ ACADEMY","057829","Spring 2024","8","123","1772","48","39","75","61","13","11","0","0","","","","","","","","","",""
"A+ ACADEMY","057829","Spring 2023","3","96","1393","37","39","59","61","22","23","6","6","0","","","","","","","","",""
"A+ ACADEMY","057829","Spring 2023","5","105","1558","44","42","61","58","28","27","7","7","0","","","","","","","","",""
"A+ ACADEMY","057829","Spring 2023","8","125","1800","28","22","97","78","35","28","1","1","","","","","","","","","",""
"A+ UNLIMITED POTENTIAL","101871","Spring 2025","8","19","1703","14","74","5","26","1","5","0","0","","","","","","","","","",""
