model,feature,importance
GAM,District_GEORGE I SANCHEZ CHARTER <= -0.07,36.62425508255662
GAM,District_GEORGE I SANCHEZ CHARTER > -0.07,36.427790743605954
GAM,District_GEORGE GERVIN ACADEMY <= -0.07,30.987095319624217
GAM,District_LA FE PREPARATORY SCHOOL <= -0.07,21.974640558867026
GAM,District_FAITH FAMILY ACADEMY <= -0.07,21.53602179165399
GAM_GlobalImportance,Tested Grade,3.5394049938276155
GAM_GlobalImportance,District_GEORGE I SANCHEZ CHARTER,2.570769665699204
GAM_GlobalImportance,District_GEORGE GERVIN ACADEMY,2.1794468677510785
GAM_GlobalImportance,District_LA FE PREPARATORY SCHOOL,1.5445504977928943
GAM_GlobalImportance,District_FAITH FAMILY ACADEMY,1.5135263181164589
GBR,District_GEORGE I SANCHEZ CHARTER > -0.07,37.4937263532418
GBR,District_GEORGE I SANCHEZ CHARTER <= -0.07,37.10218679467777
GBR,District_GEORGE GERVIN ACADEMY <= -0.07,31.714580521411577
GBR,District_LA FE PREPARATORY SCHOOL <= -0.07,18.623779304383227
GBR,District_FAITH FAMILY ACADEMY <= -0.07,18.000789603810894
GBR_GlobalImportance,Tested Grade,2.9054332247690664
GBR_GlobalImportance,District_GEORGE I SANCHEZ CHARTER,2.6015031481066533
GBR_GlobalImportance,District_GEORGE GERVIN ACADEMY,2.225079004952143
GBR_GlobalImportance,District_LA FE PREPARATORY SCHOOL,1.3090079860280854
GBR_GlobalImportance,District_FAITH FAMILY ACADEMY,1.2633718621018708
LogisticRegression,District_DEL VALLE ISD > -0.07,0.5086023975037488
LogisticRegression,District_SAN ELIZARIO ISD > -0.07,0.508286229579732
LogisticRegression,District_TERRELL ISD > -0.07,0.4892523648958556
LogisticRegression,District_GOOSE CREEK CISD > -0.07,0.4655807613266605
LogisticRegression,District_SOMERSET ACADEMIES OF TEXAS > -0.05,0.4655801107940968
LogisticRegression_GlobalImportance,Tested Grade,1.344828235590385
LogisticRegression_GlobalImportance,District_DUNCANVILLE ISD,0.349026058916298
LogisticRegression_GlobalImportance,District_JUDSON ISD,0.349026058916298
LogisticRegression_GlobalImportance,District_CLEBURNE ISD,0.349026058916298
LogisticRegression_GlobalImportance,District_COMPASS ROSE PUBLIC SCHOOLS,0.349026058916298
